"신규진입
키워드",키워드,카테고리,"브랜드
키워드","쇼핑성
키워드",경쟁률,"최근
1개월
검색량","예상
1개월
검색량","예상1개월
검색량
상승률","최근
3개월
검색량","예상
3개월
검색량","예상3개월
검색량
상승률","작년
검색량","작년
최대검색
월","작년최대
검색월
검색량",계절성,"계절성
월","네이버
상품수","네이버
해외
상품수","네이버
평균가","네이버
경쟁강도","네이버
일반배송비율","네이버
해외배송비율","네이버
묶음상품비율","쿠팡
평균가","쿠팡
총리뷰수","쿠팡
최대리뷰수","쿠팡
평균리뷰수","쿠팡
로켓배송비율","쿠팡
판매자로켓
배송비율","쿠팡
일반배송비율","쿠팡
해외배송비율","쿠팡
해외배송
총리뷰수","쿠팡
해외배송
최대리뷰수","쿠팡
해외배송
평균리뷰수"
X,빌트인세탁기,디지털/가전>생활가전,X,O,3.28,2500,2733,9.32%,8626,7827,-9.26%,42592,3,4230,없음,없음,8196,1332,658678,높음,100.00%,0.00%,27.50%,459065,3140,340,116,11.11%,0.00%,88.89%,0.00%,0,0,0
X,에어다리미,디지털/가전>생활가전,X,X,3.34,3720,3408,-8.39%,5878,3576,-39.16%,6560,5,1512,있음,"4,5,6,10",12442,5369,166789,중간,57.50%,42.50%,0.00%,74896,51777,43285,1917,25.93%,14.81%,18.52%,40.74%,7,2,1
X,세탁기10kg,디지털/가전>생활가전,X,O,3.43,7750,7579,-2.21%,25810,21660,-16.08%,109919,1,10817,없음,없음,26546,11041,308444,높음,100.00%,0.00%,22.50%,417978,28209,5405,1084,19.23%,0.00%,50.00%,30.77%,294,292,37
X,테팔다리미,디지털/가전>생활가전,O,O,3.44,2030,1706,-15.96%,7218,5314,-26.38%,40672,5,4593,없음,없음,6983,1326,91609,높음,100.00%,0.00%,55.00%,66915,28776,8805,1065,66.67%,7.41%,22.22%,3.70%,0,0,0
X,삼성에어드레서필터,디지털/가전>생활가전,O,O,3.45,2240,3050,36.16%,6291,13567,115.66%,19676,1,2830,없음,없음,7725,5,17640,높음,100.00%,0.00%,2.50%,24816,4244,1008,157,3.70%,25.93%,70.37%,0.00%,0,0,0
X,물치실,디지털/가전>생활가전,X,O,3.51,7420,7465,0.61%,19037,24234,27.30%,68011,12,7210,없음,없음,26026,9059,50364,높음,95.00%,5.00%,22.50%,33878,57038,17204,2112,40.74%,33.33%,18.52%,7.41%,7,7,4
X,드럼세탁기21kg,디지털/가전>생활가전,X,O,3.63,3080,2905,-5.68%,10774,9243,-14.21%,44407,8,4406,없음,없음,11177,30,1134124,높음,100.00%,0.00%,47.50%,1253779,27574,6457,861,46.88%,0.00%,37.50%,15.63%,1682,1483,336
X,코맥스푸시풀도어락,디지털/가전>생활가전,O,O,3.63,220,169,-23.18%,1039,6260,502.50%,639,12,335,있음,12,799,3,165807,높음,100.00%,0.00%,17.50%,161703,7686,2527,284,51.85%,3.70%,40.74%,3.70%,0,0,0
X,분리세탁기,디지털/가전>생활가전,X,X,3.78,3910,0,,3974,0,,0,,0,없음,없음,14779,4594,131019,중간,50.00%,50.00%,12.50%,325665,60,23,2,0.00%,3.70%,3.70%,92.59%,33,15,1
X,드럼세탁기10kg,디지털/가전>생활가전,X,O,3.93,1640,1599,-2.50%,5697,4984,-12.52%,24490,1,2359,없음,없음,6450,2630,1308118,높음,95.00%,5.00%,25.00%,449437,4769,1901,176,25.93%,0.00%,59.26%,14.81%,0,0,0
X,lg스타일러5벌,디지털/가전>생활가전,O,O,4.01,1870,2080,11.23%,5892,6459,9.62%,29372,1,4443,없음,없음,7502,2,1347573,높음,100.00%,0.00%,57.50%,1434895,2628,1064,82,28.13%,0.00%,62.50%,9.38%,6,6,2
X,필립스전동칫솔모,디지털/가전>생활가전,O,O,4.01,1830,1904,4.04%,6076,5645,-7.09%,31081,1,3115,없음,없음,7335,3206,13336,높음,97.50%,2.50%,10.00%,47069,63591,9747,2355,74.07%,0.00%,11.11%,14.81%,0,0,0
X,엘지워시타워,디지털/가전>생활가전,O,O,4.10,6010,6555,9.07%,20429,20316,-0.55%,96570,1,9577,없음,없음,24630,64,2695553,높음,100.00%,0.00%,62.50%,2604927,9974,2038,277,63.89%,0.00%,30.56%,5.56%,12,11,6
X,구강세정기,디지털/가전>생활가전,X,O,4.16,26670,25736,-3.50%,85011,73124,-13.98%,423155,4,42674,없음,없음,110945,46731,68650,높음,97.50%,2.50%,57.50%,51161,54017,17201,2000,51.85%,25.93%,11.11%,11.11%,0,0,0
X,삼성드럼세탁기,디지털/가전>생활가전,O,O,4.27,10570,9706,-8.17%,34401,25896,-24.72%,162601,1,16598,없음,없음,45106,5250,1367471,높음,100.00%,0.00%,50.00%,961883,16230,6457,559,34.48%,0.00%,62.07%,3.45%,0,0,0
X,엘지워시콤보,디지털/가전>생활가전,O,O,4.39,2460,2721,10.61%,7722,6107,-20.91%,57242,4,9795,있음,"3,4,5,7,8",10798,5,2869491,높음,100.00%,0.00%,35.00%,2957812,2285,1486,84,37.04%,0.00%,51.85%,11.11%,156,141,52
X,세탁건조일체형,디지털/가전>생활가전,X,O,4.45,2280,2664,16.84%,6478,6791,4.83%,37233,3,7230,있음,"2,3,4",10147,5431,2433387,높음,97.50%,2.50%,10.00%,1349827,9172,2033,339,44.44%,0.00%,37.04%,18.52%,0,0,0
O,건조기세탁기일체형,디지털/가전>생활가전,X,O,4.54,1970,2080,5.58%,5586,4614,-17.40%,32579,3,5221,없음,없음,8943,4478,2503344,높음,100.00%,0.00%,7.50%,1430070,12200,2087,451,0.00%,51.85%,33.33%,14.81%,0,0,0
X,바디드라이기,디지털/가전>생활가전,X,O,4.56,5170,7110,37.52%,18252,16907,-7.37%,81947,1,8668,없음,없음,23575,13814,232463,높음,100.00%,0.00%,32.50%,232987,2453,520,90,22.22%,25.93%,37.04%,14.81%,0,0,0
X,삼성세탁기,디지털/가전>생활가전,O,O,4.69,36770,35558,-3.30%,120712,95453,-20.93%,548132,8,52780,없음,없음,172342,16659,1343119,높음,100.00%,0.00%,57.50%,1632670,67251,8637,1868,50.00%,0.00%,50.00%,0.00%,0,0,0
X,지문인식도어락,디지털/가전>생활가전,X,O,4.71,7620,7390,-3.02%,27962,41396,48.04%,103899,12,14012,없음,없음,35917,18753,170927,높음,100.00%,0.00%,2.50%,152077,10346,2532,383,74.07%,0.00%,14.81%,11.11%,0,0,0
X,두더지퇴치기,디지털/가전>생활가전,X,O,4.77,4000,3575,-10.62%,15000,9315,-37.90%,51833,4,7687,없음,없음,19098,9173,25462,높음,92.50%,7.50%,2.50%,22575,2591,734,95,11.11%,44.44%,29.63%,14.81%,0,0,0
X,어린이무전기,디지털/가전>생활가전,X,O,4.77,1610,1707,6.02%,5434,6987,28.58%,25475,4,3627,없음,없음,7672,5608,56792,높음,80.00%,20.00%,0.00%,45681,797,224,29,11.11%,0.00%,37.04%,51.85%,166,76,12
X,슈드레서,디지털/가전>생활가전,X,O,4.80,2850,3126,9.68%,8471,8419,-0.61%,52165,1,5744,없음,없음,13667,9044,264557,높음,75.00%,25.00%,7.50%,246144,605,257,22,14.81%,3.70%,3.70%,77.78%,242,30,12
X,브라더미싱,디지털/가전>생활가전,X,O,4.91,8980,9467,5.42%,31706,30254,-4.58%,146783,3,13226,없음,없음,44070,13349,1939472,높음,100.00%,0.00%,27.50%,432842,11227,8726,415,40.74%,3.70%,48.15%,7.41%,0,0,0
X,스팀다리미,디지털/가전>생활가전,X,O,4.96,56100,47637,-15.09%,162329,162646,0.20%,855585,4,112883,없음,없음,278152,130862,79328,높음,100.00%,0.00%,50.00%,49714,88359,43274,3272,66.67%,18.52%,3.70%,11.11%,0,0,0
O,통돌이세탁기12kg,디지털/가전>생활가전,O,O,5.05,810,837,3.33%,2808,2636,-6.13%,9251,7,891,없음,없음,4091,1459,357479,높음,97.50%,2.50%,7.50%,427190,29270,7707,1084,25.93%,0.00%,59.26%,14.81%,0,0,0
X,엘지스타일러,디지털/가전>생활가전,O,O,5.14,5590,7288,30.38%,15577,22715,45.82%,113474,2,14987,없음,없음,28715,294,1097543,높음,100.00%,0.00%,57.50%,1030515,2586,1064,95,33.33%,0.00%,48.15%,18.52%,15,15,3
X,삼성건조기,디지털/가전>생활가전,O,O,5.15,23280,25870,11.13%,60292,57999,-3.80%,348798,1,38996,없음,없음,119807,10108,784962,높음,100.00%,0.00%,37.50%,1179320,24959,6457,924,70.37%,0.00%,22.22%,7.41%,4,4,2
X,삼성비스포크세탁기,디지털/가전>생활가전,O,O,5.37,3870,4005,3.49%,11898,9860,-17.13%,48607,4,5912,없음,없음,20800,32,2703283,높음,100.00%,0.00%,27.50%,1494991,16243,6451,601,81.48%,0.00%,18.52%,0.00%,0,0,0
X,드럼세탁기9kg,디지털/가전>생활가전,X,O,5.44,1330,1402,5.41%,4371,4081,-6.63%,25882,3,2615,없음,없음,7229,631,471575,높음,100.00%,0.00%,45.00%,468746,2597,616,96,11.11%,0.00%,88.89%,0.00%,0,0,0
X,싱거미싱,디지털/가전>생활가전,O,O,5.54,3450,3581,3.80%,11708,11416,-2.49%,66084,5,6213,없음,없음,19105,9695,590034,높음,92.50%,7.50%,22.50%,403976,1194,391,44,62.96%,0.00%,29.63%,7.41%,8,7,4
X,푸시풀도어락,디지털/가전>생활가전,X,O,5.65,2080,2103,1.11%,6344,6761,6.57%,22922,11,2283,없음,없음,11742,1513,202678,높음,100.00%,0.00%,10.00%,146710,13718,2524,508,77.78%,3.70%,3.70%,14.81%,0,0,0
X,엘지통돌이세탁기,디지털/가전>생활가전,O,O,5.79,6550,6307,-3.71%,20158,19929,-1.14%,58326,7,5472,없음,없음,37898,2174,590410,높음,100.00%,0.00%,60.00%,459483,30975,7698,1191,38.46%,0.00%,42.31%,19.23%,450,450,90
X,휴대용칫솔살균기,디지털/가전>생활가전,X,O,5.83,5940,7102,19.56%,19977,18453,-7.63%,111943,3,14833,없음,없음,34647,9044,27050,높음,100.00%,0.00%,40.00%,17181,47138,7492,1745,66.67%,29.63%,3.70%,0.00%,0,0,0
X,프리즘스탠드,디지털/가전>생활가전,O,O,5.98,1790,1499,-16.26%,5147,4842,-5.93%,44077,1,5835,없음,없음,10708,1410,63916,높음,100.00%,0.00%,67.50%,68736,28394,16393,1051,59.26%,0.00%,25.93%,14.81%,0,0,0
X,무선구강세정기,디지털/가전>생활가전,X,O,6.03,2930,1839,-37.24%,5016,2766,-44.86%,6173,3,772,없음,없음,17670,6650,78646,높음,100.00%,0.00%,45.00%,37934,46944,17208,1738,37.04%,29.63%,22.22%,11.11%,0,0,0
X,스탠드스팀다리미,디지털/가전>생활가전,X,O,6.14,5600,5288,-5.57%,19398,31649,63.16%,41898,12,5023,없음,없음,34404,15852,100234,높음,100.00%,0.00%,25.00%,93184,60386,43286,2236,62.96%,11.11%,11.11%,14.81%,0,0,0
X,치간세정기,디지털/가전>생활가전,X,O,6.16,2920,3157,8.12%,5664,5870,3.64%,14733,5,1397,없음,없음,17973,4989,57003,높음,97.50%,2.50%,32.50%,49162,62488,17224,2314,40.74%,33.33%,14.81%,11.11%,38,38,13
X,lg드럼세탁기15kg,디지털/가전>생활가전,X,O,6.22,930,1180,26.88%,3200,2941,-8.09%,11657,7,1229,없음,없음,5787,191,2488848,높음,100.00%,0.00%,50.00%,671524,20740,6450,715,27.59%,0.00%,55.17%,17.24%,65,65,13
X,삼성세탁기건조기,디지털/가전>생활가전,O,O,6.24,18150,23405,28.95%,54639,76343,39.72%,98564,11,11762,없음,없음,113256,9552,1926303,높음,100.00%,0.00%,50.00%,1804347,14310,5836,530,62.96%,0.00%,37.04%,0.00%,0,0,0
X,에어드레서필터,디지털/가전>생활가전,O,O,6.40,1800,2614,45.22%,3614,5411,49.72%,19437,3,3347,있음,"1,2,3,4",11514,11,11921,높음,100.00%,0.00%,5.00%,27294,5028,1010,186,3.70%,25.93%,70.37%,0.00%,0,0,0
X,연수기,디지털/가전>생활가전,X,O,6.42,7820,8102,3.61%,24676,27383,10.97%,106896,1,9647,없음,없음,50176,21795,104021,높음,100.00%,0.00%,22.50%,57134,114144,72841,4227,29.63%,14.81%,40.74%,14.81%,0,0,0
O,삶는세탁기,디지털/가전>생활가전,X,O,6.44,1060,892,-15.85%,3850,2385,-38.05%,13553,7,1585,없음,없음,6825,3930,233277,높음,85.00%,15.00%,5.00%,273609,17397,7696,644,29.63%,33.33%,22.22%,14.81%,0,0,0
X,필립스소닉케어,디지털/가전>생활가전,O,O,6.46,2800,2902,3.64%,9082,8455,-6.90%,45639,2,4867,없음,없음,18100,10980,111596,높음,100.00%,0.00%,62.50%,100935,51086,8192,1892,81.48%,0.00%,0.00%,18.52%,2,2,0
X,짤순이,디지털/가전>생활가전,X,O,6.49,13290,12424,-6.52%,50995,32472,-36.32%,293138,7,39391,없음,없음,86225,18544,78445,높음,97.50%,2.50%,0.00%,65304,15025,4545,556,25.93%,40.74%,22.22%,11.11%,0,0,0
X,식당무전기,디지털/가전>생활가전,X,O,6.85,1590,1236,-22.26%,2625,1690,-35.62%,3749,7,406,없음,없음,10891,5186,173524,높음,95.00%,5.00%,7.50%,81075,1152,225,42,3.70%,3.70%,66.67%,25.93%,45,33,6
X,부라더미싱,디지털/가전>생활가전,X,O,7.06,6250,6776,8.42%,22108,21314,-3.59%,115325,1,10689,없음,없음,44120,13449,1506011,높음,100.00%,0.00%,22.50%,444874,11164,8723,310,27.78%,2.78%,52.78%,16.67%,0,0,0
X,현관문도어락,디지털/가전>생활가전,X,O,7.31,25920,25763,-0.61%,79895,89340,11.82%,291421,11,36481,없음,없음,189533,37299,126112,높음,100.00%,0.00%,2.50%,99497,35055,6876,1298,88.89%,0.00%,3.70%,7.41%,0,0,0
O,소형세탁기7kg,디지털/가전>생활가전,X,O,7.32,600,0,,2176,680,-68.75%,34,4,14,있음,"4,5,7",4389,2949,246651,높음,95.00%,5.00%,5.00%,261915,15396,5407,570,25.93%,3.70%,59.26%,11.11%,0,0,0
O,스팀다리미초고속,디지털/가전>생활가전,,O,7.35,260,0,,1225,0,,60,10,60,있음,10,1911,625,85819,높음,85.00%,15.00%,0.00%,54055,64553,43299,2390,25.93%,18.52%,22.22%,33.33%,4,4,0
X,드럼세탁기19kg,디지털/가전>생활가전,X,O,7.58,620,445,-28.23%,1911,1754,-8.22%,9618,8,976,없음,없음,4697,154,1144891,높음,100.00%,0.00%,27.50%,860992,23626,6452,875,48.15%,0.00%,51.85%,0.00%,0,0,0
X,건조기10kg,디지털/가전>생활가전,X,O,7.80,1650,2013,22.00%,4490,4559,1.54%,18032,7,1997,없음,없음,12863,6063,689097,높음,97.50%,2.50%,20.00%,739628,13652,5836,505,44.44%,3.70%,37.04%,14.81%,12,12,3
X,즉시잠김도어락,디지털/가전>생활가전,X,O,8.09,230,409,77.83%,2684,37031,1279.69%,8632,11,4060,있음,11,1860,89,193887,높음,97.50%,2.50%,2.50%,174069,11362,4033,420,55.56%,0.00%,44.44%,0.00%,0,0,0
X,어린이전동칫솔,디지털/가전>생활가전,X,O,8.18,1650,1700,3.03%,5598,4870,-13.00%,34551,1,3769,없음,없음,13500,6792,33620,높음,100.00%,0.00%,25.00%,30015,63241,17205,2342,59.26%,7.41%,25.93%,7.41%,1,1,1
X,wa2525,디지털/가전>생활가전,X,O,8.36,730,0,,3321,0,,0,,0,없음,없음,6106,0,3566061,중간,100.00%,0.00%,37.50%,3952558,4448,1489,123,27.78%,0.00%,69.44%,2.78%,1,1,1
O,보풀제거기c타입,디지털/가전>생활가전,X,O,8.41,260,0,,293,0,,0,,0,없음,없음,2186,268,25563,높음,100.00%,0.00%,25.00%,21816,57509,34471,2129,51.85%,22.22%,25.93%,0.00%,0,0,0
X,엘지세탁기건조기세트,디지털/가전>생활가전,X,O,8.44,2610,2615,0.19%,8031,5968,-25.69%,66274,2,8399,없음,없음,22024,344,2246924,높음,100.00%,0.00%,72.50%,1851634,8163,2029,302,62.96%,0.00%,18.52%,18.52%,141,141,28
X,미니건조기,디지털/가전>생활가전,X,O,8.72,25250,28328,12.19%,74175,88569,19.41%,481007,7,65197,없음,없음,220156,114444,290025,높음,95.00%,5.00%,32.50%,226848,11691,3987,433,37.04%,25.93%,7.41%,29.63%,68,34,9
X,보풀제거기,디지털/가전>생활가전,X,O,8.78,16650,42470,155.08%,35974,205712,471.84%,428283,12,88466,있음,"1,2,3,11,12",146130,41413,32882,높음,100.00%,0.00%,50.00%,23000,93259,34255,3454,44.44%,29.63%,11.11%,14.81%,0,0,0
O,건조기렌탈,디지털/가전>생활가전,X,O,8.88,3030,3401,12.24%,9995,8302,-16.94%,66874,7,8107,없음,없음,26909,260,32997,높음,100.00%,0.00%,0.00%,252908,350468,73261,12980,66.67%,3.70%,18.52%,11.11%,0,0,0
X,세탁기렌탈,디지털/가전>생활가전,X,O,8.95,6590,7229,9.70%,23060,17458,-24.29%,111284,10,11871,없음,없음,58971,518,71552,높음,97.50%,2.50%,0.00%,603554,41082,7703,1521,55.56%,0.00%,29.63%,14.81%,0,0,0
O,면도기살균기,디지털/가전>생활가전,X,O,9.25,1890,1789,-5.34%,6249,5515,-11.75%,23510,1,2657,없음,없음,17483,8598,40892,높음,100.00%,0.00%,37.50%,27953,48367,19743,1791,14.81%,48.15%,33.33%,3.70%,0,0,0
O,lg드럼세탁기21kg,디지털/가전>생활가전,X,O,9.50,750,882,17.60%,2273,1941,-14.61%,12308,1,1404,없음,없음,7122,24,1194945,높음,100.00%,0.00%,32.50%,1066380,14868,4029,413,36.11%,0.00%,58.33%,5.56%,1483,1483,742
X,빨래건조기,디지털/가전>생활가전,X,O,9.73,21390,24113,12.73%,55818,51347,-8.01%,299238,7,39594,없음,없음,208087,96819,787685,높음,100.00%,0.00%,82.50%,601082,22349,5836,827,59.26%,7.41%,14.81%,18.52%,330,330,66
X,유리문도어락,디지털/가전>생활가전,X,O,9.75,3180,3694,16.16%,10490,13517,28.86%,66171,11,7074,없음,없음,31013,6335,61938,높음,100.00%,0.00%,0.00%,63883,3551,823,131,70.37%,7.41%,14.81%,7.41%,0,0,0
X,모기퇴치기,디지털/가전>생활가전,X,O,9.88,34120,37160,8.91%,101380,30977,-69.44%,399692,6,109830,있음,"5,6,7",337184,113388,38536,높음,100.00%,0.00%,10.00%,34143,58268,12703,2158,33.33%,37.04%,14.81%,14.81%,18,18,5
X,lg건조기,디지털/가전>생활가전,X,O,10.25,19440,21522,10.71%,54283,54139,-0.27%,318370,7,33786,없음,없음,199323,16239,941758,높음,100.00%,0.00%,62.50%,975015,18649,5836,690,59.26%,0.00%,37.04%,3.70%,0,0,0
X,중고건조기,디지털/가전>생활가전,X,O,10.47,1090,1283,17.71%,3224,3276,1.61%,17129,7,1695,없음,없음,11411,7118,411706,높음,95.00%,5.00%,0.00%,232218,32264,10469,896,16.67%,19.44%,63.89%,0.00%,0,0,0
X,치아세정기,디지털/가전>생활가전,X,O,10.64,3570,4105,14.99%,9140,10520,15.10%,26043,11,3046,없음,없음,37992,15884,64348,높음,97.50%,2.50%,32.50%,53050,59112,17207,2189,48.15%,18.52%,14.81%,18.52%,108,78,22
X,무선스팀다리미,디지털/가전>생활가전,O,O,10.71,1990,1934,-2.81%,6099,4616,-24.32%,27359,4,3557,없음,없음,21313,12632,64342,높음,97.50%,2.50%,40.00%,43492,67950,43301,2516,51.85%,29.63%,3.70%,14.81%,4,2,1
X,책소독기,디지털/가전>생활가전,X,O,10.73,900,1009,12.11%,2804,2268,-19.12%,12032,8,1257,없음,없음,9661,5535,575905,높음,82.50%,17.50%,0.00%,196668,1146,577,42,14.81%,0.00%,29.63%,55.56%,5,1,0
X,건설무전기,디지털/가전>생활가전,X,O,11.37,1520,0,,4784,0,,84,10,67,있음,10,17288,5392,231565,높음,100.00%,0.00%,45.00%,116242,696,224,25,3.70%,3.70%,62.96%,29.63%,0,0,0
X,소형세탁기5kg,디지털/가전>생활가전,X,O,11.40,950,0,,4208,935,-77.78%,216,9,54,있음,"8,9,10,12",10833,6650,150102,높음,77.50%,22.50%,0.00%,204857,14239,5411,527,18.52%,3.70%,22.22%,55.56%,44,33,3
X,무전기,디지털/가전>생활가전,X,O,11.44,39580,40928,3.41%,135994,247743,82.17%,302602,12,51140,있음,"7,12",452797,162868,154807,높음,97.50%,2.50%,17.50%,71572,1010,225,37,3.70%,3.70%,51.85%,40.74%,143,76,13
X,아기세탁기,디지털/가전>생활가전,X,O,11.44,9840,9320,-5.28%,32423,29583,-8.76%,142488,1,13975,없음,없음,112575,73304,242362,높음,90.00%,10.00%,12.50%,229531,5991,3220,221,14.81%,33.33%,29.63%,22.22%,57,16,10
X,세탁기건조기세트,디지털/가전>생활가전,X,O,11.60,7350,8229,11.96%,23520,23576,0.24%,122409,1,22439,있음,"1,2,3",85249,11634,2019702,높음,100.00%,0.00%,77.50%,1459482,9813,2036,363,62.96%,0.00%,25.93%,11.11%,0,0,0
O,산업무전기,디지털/가전>생활가전,X,O,11.71,890,0,,1095,0,,50,2,30,있음,"2,12",10420,2975,289831,높음,85.00%,15.00%,17.50%,165638,426,226,15,3.70%,3.70%,62.96%,29.63%,0,0,0
X,신발건조기,디지털/가전>생활가전,X,O,11.78,15880,20707,30.40%,52105,56086,7.64%,226492,7,42333,있음,"6,7",187048,103391,97519,높음,90.00%,10.00%,30.00%,42981,9179,2655,339,22.22%,18.52%,25.93%,33.33%,231,214,26
O,삼성그랑데세탁기,디지털/가전>생활가전,O,O,11.80,2380,2223,-6.60%,8291,6570,-20.76%,59890,1,7001,없음,없음,28076,6,1114545,높음,100.00%,0.00%,47.50%,1058625,32228,7684,1193,74.07%,0.00%,25.93%,0.00%,0,0,0
X,현장무전기,디지털/가전>생활가전,X,O,12.01,1780,2143,20.39%,3811,683958,17846.94%,7109,12,5571,있음,12,21383,7044,435259,높음,100.00%,0.00%,27.50%,108986,405,224,15,3.70%,11.11%,29.63%,55.56%,0,0,0
X,lg드럼세탁기,디지털/가전>생활가전,X,O,12.04,10030,8852,-11.74%,32934,25209,-23.46%,158750,7,15482,없음,없음,120747,10361,1380033,높음,100.00%,0.00%,60.00%,878147,9356,1899,311,53.33%,0.00%,36.67%,10.00%,0,0,0
O,매장무전기,디지털/가전>생활가전,X,O,12.05,440,0,,2960,2960,0.00%,150,2,60,있음,2,5300,1857,168720,높음,100.00%,0.00%,0.00%,69712,1242,359,46,7.41%,11.11%,51.85%,29.63%,64,33,8
X,드럼세탁기,디지털/가전>생활가전,X,O,12.20,47630,43815,-8.01%,157683,127064,-19.42%,718253,7,66775,없음,없음,581020,153956,1409941,높음,100.00%,0.00%,80.00%,794468,18054,6455,668,62.96%,0.00%,33.33%,3.70%,0,0,0
X,디지털도어락,디지털/가전>생활가전,X,O,12.26,15750,14666,-6.88%,52711,44815,-14.98%,218455,8,21126,없음,없음,193088,62755,134342,높음,100.00%,0.00%,2.50%,96277,36860,6871,1365,92.59%,0.00%,7.41%,0.00%,0,0,0
X,인터넷전화기,디지털/가전>생활가전,X,O,12.27,1970,2174,10.36%,7353,6947,-5.52%,39535,1,4159,없음,없음,24166,8075,49531,높음,85.00%,15.00%,2.50%,39107,17969,3644,665,55.56%,7.41%,22.22%,14.81%,0,0,0
O,콤보세탁기,디지털/가전>생활가전,O,O,12.35,1830,2035,11.20%,4961,5237,5.56%,11308,9,1292,없음,없음,22592,2188,2657429,높음,100.00%,0.00%,37.50%,2098505,10316,4029,303,47.06%,0.00%,32.35%,20.59%,143,143,20
X,음파전동칫솔,디지털/가전>생활가전,X,O,12.48,2530,2489,-1.62%,8186,8987,9.78%,46320,1,4346,없음,없음,31565,13765,63150,높음,92.50%,7.50%,57.50%,42970,35464,8192,1313,33.33%,25.93%,18.52%,22.22%,106,82,18
X,미니세탁기,디지털/가전>생활가전,X,O,12.70,26950,24516,-9.03%,88714,62408,-29.65%,350088,7,40134,없음,없음,342147,187384,224948,높음,90.00%,10.00%,22.50%,114109,5732,1441,212,25.93%,33.33%,7.41%,33.33%,247,211,27
X,필립스칫솔모,디지털/가전>생활가전,O,O,12.82,1020,1162,13.92%,3322,3001,-9.66%,19414,1,1845,없음,없음,13078,5738,19446,높음,100.00%,0.00%,40.00%,37151,65145,9747,2412,77.78%,7.41%,7.41%,7.41%,0,0,0
X,모토로라무전기,디지털/가전>생활가전,O,O,12.96,3580,3931,9.80%,13162,12965,-1.50%,49821,5,4787,없음,없음,46409,18431,240178,높음,90.00%,10.00%,10.00%,115874,1548,287,57,7.41%,0.00%,74.07%,18.52%,0,0,0
X,lg세탁기,디지털/가전>생활가전,X,O,13.01,26260,25376,-3.37%,88075,74529,-15.38%,410438,3,40141,없음,없음,341628,26038,960371,높음,100.00%,0.00%,67.50%,852731,26107,5408,966,70.37%,0.00%,14.81%,14.81%,191,191,48
X,미니스타일러,디지털/가전>생활가전,O,O,13.05,1250,1220,-2.40%,4091,7090,73.31%,32911,12,3800,없음,없음,16311,10059,147019,높음,77.50%,22.50%,0.00%,71218,45765,43300,1578,17.24%,27.59%,10.34%,44.83%,443,331,34
X,칫솔살균기휴대용,디지털/가전>생활가전,X,O,13.24,2630,4383,66.65%,9416,10619,12.78%,37595,3,5256,없음,없음,34817,9155,27527,높음,100.00%,0.00%,40.00%,16613,49104,7495,1818,59.26%,18.52%,22.22%,0.00%,0,0,0
X,삼성건조기필터,디지털/가전>생활가전,O,O,13.33,4020,3546,-11.79%,11156,9886,-11.38%,44122,3,4770,없음,없음,53572,846,17509,높음,100.00%,0.00%,2.50%,35984,613,306,18,0.00%,14.71%,85.29%,0.00%,0,0,0
X,전동칫솔,디지털/가전>생활가전,X,O,13.34,17980,18263,1.57%,62558,58490,-6.50%,290181,1,30707,없음,없음,239796,103658,88892,높음,97.50%,2.50%,57.50%,42253,85570,17204,3169,66.67%,25.93%,7.41%,0.00%,0,0,0
O,삼성세탁기건조기세트,디지털/가전>생활가전,O,O,13.62,1150,1468,27.65%,4082,2101,-48.53%,64519,1,17666,있음,"1,2,3",15663,209,2001939,높음,100.00%,0.00%,72.50%,2060661,9800,2037,362,62.96%,0.00%,37.04%,0.00%,0,0,0
X,화장실손건조기,디지털/가전>생활가전,X,O,13.63,2220,1283,-42.21%,6634,11831,78.34%,2204,11,534,있음,"9,10,11,12",30256,10526,251527,높음,100.00%,0.00%,70.00%,153861,431,97,15,3.70%,18.52%,44.44%,33.33%,57,20,6
X,무선전화기,디지털/가전>생활가전,X,O,13.73,4520,4561,0.91%,16050,14066,-12.36%,79205,1,8347,없음,없음,62058,33093,53769,높음,100.00%,0.00%,52.50%,60065,19014,3644,704,66.67%,7.41%,11.11%,14.81%,0,0,0
X,현관도어락,디지털/가전>생활가전,X,O,13.83,11010,9969,-9.46%,35382,27261,-22.95%,166260,8,17601,없음,없음,152229,39308,112033,높음,100.00%,0.00%,2.50%,89785,41176,6871,1525,92.59%,0.00%,0.00%,7.41%,0,0,0
X,무선칫솔살균기,디지털/가전>생활가전,X,O,13.85,1820,3477,91.04%,6491,15796,143.35%,45696,12,9450,있음,"7,12",25200,6097,31342,높음,100.00%,0.00%,30.00%,31144,22349,8184,827,3.70%,62.96%,22.22%,11.11%,28,28,9
X,스팀다리미스탠드,디지털/가전>생활가전,O,O,14.32,2410,2497,3.61%,7238,5596,-22.69%,39660,5,5725,없음,없음,34510,15922,103645,높음,100.00%,0.00%,32.50%,92085,58086,43308,2151,62.96%,18.52%,3.70%,14.81%,0,0,0
X,도어락,디지털/가전>생활가전,X,O,14.48,69000,67292,-2.48%,242524,250215,3.17%,1070375,8,117621,없음,없음,999088,203192,140061,높음,100.00%,0.00%,15.00%,103387,39994,6872,1481,92.59%,3.70%,3.70%,0.00%,0,0,0
